datetime,day_of_year,solar_time,cat,z,ST,SD,Z_sl,nd_aws2,Ta_aws2,Ta_cell,G_rsun,G_AWS2_rsun,Sin_AWS2,Sin_cell,alpha,Sout,Lin,Lout,Snet,Lnet,Rnet,T2m_AWS2,T2m,Ts,wind_speed,RH,pressure,H,LE,Qr,Qg,Qm,ablation_mm
2019-07-07 00:00:00,188,0.0,42,2487,1,0,2402.5,3,35.0,36.61,0.0,0.0,0.0,0.0,0.5796,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.72,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,43,2464,1,0,2402.5,3,35.0,37.21,0.0,0.0,0.0,0.0,0.5802,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.87,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,44,2555,1,0,2402.5,3,35.0,34.84,0.0,0.0,0.0,0.0,0.5779,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.28,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,45,2555,1,0,2402.5,3,35.0,34.84,0.0,0.0,0.0,0.0,0.5779,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.28,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,46,2555,1,0,2402.5,3,35.0,34.84,0.0,0.0,0.0,0.0,0.5779,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.28,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,47,2530,1,0,2402.5,3,35.0,35.49,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.44,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,48,2510,1,0,2402.5,3,35.0,36.01,0.0,0.0,0.0,0.0,0.579,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.57,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,49,2534,1,0,2402.5,3,35.0,35.39,0.0,0.0,0.0,0.0,0.5784,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.41,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,50,2531,1,0,2402.5,3,35.0,35.47,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,51,2531,1,0,2402.5,3,35.0,35.47,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,52,2531,1,0,2402.5,3,35.0,35.47,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,53,2507,1,0,2402.5,3,35.0,36.09,0.0,0.0,0.0,0.0,0.5791,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.59,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,54,2494,1,0,2402.5,3,35.0,36.43,0.0,0.0,0.0,0.0,0.5795,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.67,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,55,2531,1,0,2402.5,3,35.0,35.47,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,56,2531,1,0,2402.5,3,35.0,35.47,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,57,2507,1,0,2402.5,3,35.0,36.09,0.0,0.0,0.0,0.0,0.5791,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.59,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
